"duckdb","stream_build","sf","rep","scenario","query","rows","elapsed_s","peak_rss_mb","r_alloc_mb","engine_mem_mb","note"
"1.5.5",FALSE,0.2,1,"materialize","q1",4,0.053,14.3,46.8,11.8,"ok"
"1.5.5",FALSE,0.2,2,"materialize","q1",4,0.043,14.5,46.8,11.8,"ok"
"1.5.5",FALSE,0.2,3,"materialize","q1",4,0.037,14.3,46.8,11.8,"ok"
"1.5.5",FALSE,0.2,1,"materialize_chunked","q1",4,0.047,14.4,46.8,11.8,"ok"
"1.5.5",FALSE,0.2,2,"materialize_chunked","q1",4,0.056,14.4,46.8,11.8,"ok"
"1.5.5",FALSE,0.2,3,"materialize_chunked","q1",4,0.048,14.5,46.8,11.8,"ok"
"1.5.5",FALSE,0.2,1,"arrow_drain","q1",4,0.106,15.1,59.1,11.8,"ok"
"1.5.5",FALSE,0.2,2,"arrow_drain","q1",4,0.089,14.8,59.1,11.8,"ok"
"1.5.5",FALSE,0.2,3,"arrow_drain","q1",4,0.077,14.8,59.1,11.8,"ok"
"1.5.5",FALSE,0.2,1,"engine_only","q1",4,0.042,14.6,47.2,12,"ok"
"1.5.5",FALSE,0.2,2,"engine_only","q1",4,0.051,14.5,47.2,12,"ok"
"1.5.5",FALSE,0.2,3,"engine_only","q1",4,0.039,14.7,47.2,12,"ok"
"1.5.5",FALSE,0.2,1,"materialize","all",1199969,2.372,482.6,297.9,32.8,"ok"
"1.5.5",FALSE,0.2,2,"materialize","all",1199969,2.212,482.6,297.9,32.8,"ok"
"1.5.5",FALSE,0.2,3,"materialize","all",1199969,2.164,482.6,297.9,32.8,"ok"
"1.5.5",FALSE,0.2,1,"materialize_chunked","all",1199969,3.066,482.6,386.9,32.8,"ok"
"1.5.5",FALSE,0.2,2,"materialize_chunked","all",1199969,2.617,482.6,386.9,32.8,"ok"
"1.5.5",FALSE,0.2,3,"materialize_chunked","all",1199969,3.084,482.6,386.9,32.8,"ok"
"1.5.5",FALSE,0.2,1,"arrow_drain","all",1199969,0.511,241,59.4,32.8,"ok"
"1.5.5",FALSE,0.2,2,"arrow_drain","all",1199969,0.488,240.6,59.4,32.8,"ok"
"1.5.5",FALSE,0.2,3,"arrow_drain","all",1199969,0.49,240,59.4,32.8,"ok"
"1.5.5",FALSE,0.2,1,"engine_only","all",1199969,0.379,236.3,47.2,249.4,"ok"
"1.5.5",FALSE,0.2,2,"engine_only","all",1199969,0.363,235.6,47.2,249.4,"ok"
"1.5.5",FALSE,0.2,3,"engine_only","all",1199969,0.389,235.9,47.2,249.4,"ok"
"1.5.5",FALSE,0.2,1,"materialize","sorted",1199969,2.626,500.8,297.9,32.8,"ok"
"1.5.5",FALSE,0.2,2,"materialize","sorted",1199969,2.621,498.6,297.9,32.8,"ok"
"1.5.5",FALSE,0.2,3,"materialize","sorted",1199969,3.483,503.2,297.9,32.8,"ok"
"1.5.5",FALSE,0.2,1,"materialize_chunked","sorted",1199969,3.134,503.4,386.9,32.8,"ok"
"1.5.5",FALSE,0.2,2,"materialize_chunked","sorted",1199969,3.145,509.2,386.9,32.8,"ok"
"1.5.5",FALSE,0.2,3,"materialize_chunked","sorted",1199969,19.781,484.4,386.9,32.8,"ok"
"1.5.5",FALSE,0.2,1,"arrow_drain","sorted",1199969,3.802,421.4,59.4,32.8,"ok"
"1.5.5",FALSE,0.2,2,"arrow_drain","sorted",1199969,3.782,422.5,59.4,32.8,"ok"
"1.5.5",FALSE,0.2,3,"arrow_drain","sorted",1199969,1.842,421.3,59.4,32.8,"ok"
"1.5.5",FALSE,0.2,1,"engine_only","sorted",1199969,1.259,413.5,47.2,249.4,"ok"
"1.5.5",FALSE,0.2,2,"engine_only","sorted",1199969,1.685,414.6,47.2,249.4,"ok"
"1.5.5",FALSE,0.2,3,"engine_only","sorted",1199969,0.96,412.8,47.2,249.4,"ok"
"1.5.5",FALSE,0.2,1,"materialize","strings",1199969,2.065,299.3,206.3,20.8,"ok"
"1.5.5",FALSE,0.2,2,"materialize","strings",1199969,1.85,299.1,206.3,20.8,"ok"
"1.5.5",FALSE,0.2,3,"materialize","strings",1199969,2.186,299.2,206.3,20.8,"ok"
"1.5.5",FALSE,0.2,1,"materialize_chunked","strings",1199969,3.106,299.2,244.6,20.8,"ok"
"1.5.5",FALSE,0.2,2,"materialize_chunked","strings",1199969,2.405,299.3,244.6,20.8,"ok"
"1.5.5",FALSE,0.2,3,"materialize_chunked","strings",1199969,2.355,299,244.6,20.8,"ok"
"1.5.5",FALSE,0.2,1,"arrow_drain","strings",1199969,0.301,110.7,59.1,20.8,"ok"
"1.5.5",FALSE,0.2,2,"arrow_drain","strings",1199969,0.332,109,59.1,20.8,"ok"
"1.5.5",FALSE,0.2,3,"arrow_drain","strings",1199969,0.345,109.1,59.1,20.8,"ok"
"1.5.5",FALSE,0.2,1,"engine_only","strings",1199969,0.388,119.7,47.2,127.6,"ok"
"1.5.5",FALSE,0.2,2,"engine_only","strings",1199969,0.252,119.7,47.2,127.6,"ok"
"1.5.5",FALSE,0.2,3,"engine_only","strings",1199969,0.255,119.2,47.2,127.6,"ok"
