"duckdb","stream_build","sf","rep","scenario","query","rows","elapsed_s","peak_rss_mb","r_alloc_mb","engine_mem_mb","note"
"1.5.5.9010",TRUE,0.2,1,"stream_all","all",1199969,2.89,476.8,297.1,32.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"stream_all","all",1199969,2.387,476.2,297.1,32.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"stream_all","all",1199969,2.329,476.3,297.1,32.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"stream_chunked","all",1199969,1.55,175.6,134.4,32.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"stream_chunked","all",1199969,1.569,154.7,134.4,32.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"stream_chunked","all",1199969,1.513,161.4,134.4,32.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"stream_all","sorted",1199969,2.68,482.3,297.1,32.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"stream_all","sorted",1199969,2.576,481.3,297.1,32.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"stream_all","sorted",1199969,2.412,486.4,297.1,32.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"stream_chunked","sorted",1199969,1.747,340.4,134.4,32.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"stream_chunked","sorted",1199969,1.729,338.4,134.4,32.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"stream_chunked","sorted",1199969,1.684,332.5,134.4,32.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"stream_all","strings",1199969,2.084,294.2,205.5,20.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"stream_all","strings",1199969,1.944,294.1,205.5,20.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"stream_all","strings",1199969,1.921,294.2,205.5,20.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"stream_chunked","strings",1199969,1.369,137.2,139.5,20.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"stream_chunked","strings",1199969,1.347,136,139.5,20.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"stream_chunked","strings",1199969,1.344,137.7,139.5,20.8,"ok"
