"duckdb","stream_build","sf","rep","scenario","query","rows","elapsed_s","peak_rss_mb","r_alloc_mb","engine_mem_mb","note"
"1.5.5.9010",TRUE,0.2,1,"materialize","q1",4,0.136,12.7,69.2,11.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"materialize","q1",4,0.082,13,69.2,11.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"materialize","q1",4,0.076,12.8,69.2,11.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"materialize_chunked","q1",4,0.082,12.7,69.2,11.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"materialize_chunked","q1",4,0.071,12.4,69.2,11.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"materialize_chunked","q1",4,0.073,12.3,69.2,11.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"stream_all","q1",4,0.071,12.8,69.3,11.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"stream_all","q1",4,0.076,12.4,69.3,11.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"stream_all","q1",4,0.08,12.5,69.3,11.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"stream_chunked","q1",4,0.094,11,69.3,11.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"stream_chunked","q1",4,0.082,10.7,69.3,11.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"stream_chunked","q1",4,0.078,11.8,69.3,11.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"arrow_drain","q1",4,0.062,12.9,61,11.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"arrow_drain","q1",4,0.062,13.1,61,11.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"arrow_drain","q1",4,0.061,13.1,61,11.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"engine_only","q1",4,0.076,12.6,69.6,12,"ok"
"1.5.5.9010",TRUE,0.2,2,"engine_only","q1",4,0.08,12.8,69.6,12,"ok"
"1.5.5.9010",TRUE,0.2,3,"engine_only","q1",4,0.08,12.3,69.6,12,"ok"
"1.5.5.9010",TRUE,0.2,1,"spill_then_stream","q1",4,0.091,12.5,69.7,12,"ok"
"1.5.5.9010",TRUE,0.2,2,"spill_then_stream","q1",4,0.078,12.4,69.7,12,"ok"
"1.5.5.9010",TRUE,0.2,3,"spill_then_stream","q1",4,0.078,13,69.7,12,"ok"
"1.5.5.9010",TRUE,0.2,1,"materialize","all",1199969,2.214,470.8,312.6,32.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"materialize","all",1199969,2.274,470.6,312.6,32.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"materialize","all",1199969,2.209,470.8,312.6,32.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"materialize_chunked","all",1199969,3.094,470.7,398,32.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"materialize_chunked","all",1199969,2.987,470.8,398,32.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"materialize_chunked","all",1199969,2.538,471,398,32.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"stream_all","all",1199969,2.071,476.2,297.1,32.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"stream_all","all",1199969,2.029,476.2,297.1,32.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"stream_all","all",1199969,2.022,476.2,297.1,32.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"stream_chunked","all",1199969,1.362,106.1,139.5,32.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"stream_chunked","all",1199969,1.376,105.3,139.5,32.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"stream_chunked","all",1199969,1.321,106.6,139.5,32.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"arrow_drain","all",1199969,0.438,235.1,61.3,32.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"arrow_drain","all",1199969,0.449,233.8,61.3,32.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"arrow_drain","all",1199969,0.462,232.5,61.3,32.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"engine_only","all",1199969,0.239,232.9,69.6,249.4,"ok"
"1.5.5.9010",TRUE,0.2,2,"engine_only","all",1199969,0.227,232.9,69.6,249.4,"ok"
"1.5.5.9010",TRUE,0.2,3,"engine_only","all",1199969,0.223,232.9,69.6,249.4,"ok"
"1.5.5.9010",TRUE,0.2,1,"spill_then_stream","all",1199969,1.53,310.1,139.5,249.4,"ok"
"1.5.5.9010",TRUE,0.2,2,"spill_then_stream","all",1199969,1.797,310.7,139.5,249.4,"ok"
"1.5.5.9010",TRUE,0.2,3,"spill_then_stream","all",1199969,1.953,311.9,139.5,249.4,"ok"
"1.5.5.9010",TRUE,0.2,1,"materialize","sorted",1199969,2.601,493.7,312.6,32.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"materialize","sorted",1199969,2.566,493.5,312.6,32.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"materialize","sorted",1199969,2.72,490.6,312.6,32.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"materialize_chunked","sorted",1199969,3.353,493.7,398,32.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"materialize_chunked","sorted",1199969,2.72,507.7,398,32.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"materialize_chunked","sorted",1199969,2.703,509.1,398,32.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"stream_all","sorted",1199969,2.978,488.1,297.1,32.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"stream_all","sorted",1199969,2.905,489.9,297.1,32.8,"ok"
