lang,image,scenario,rows,peak_mb,seconds
r,dev,materialize,OOM,,69
r,dev,chunked_native,OOM,,50
r,dev,arrow_legacy,OOM,,48
r,dev,stream_plain,750000000,8031,34.3
r,dev,stream_discard,750000000,166,11.2
r,dev,stream_convert,750000000,229,20.5
r,dev,adbc_stream,750000000,154,70.2
python,python312,materialize_df,OOM,,70
python,python312,materialize_arrow,750000000,11743,45.3
python,python312,materialize_numpy,OOM,,38
python,python312,stream_fetchmany,750000000,320,226.7
python,python312,stream_arrow_reader,750000000,255,13.6
python,python312,stream_df_chunk,750000000,292,17.3
node,node22,materialize_columns,OOM,,8559
node,node22,materialize_chunks,OOM,,59
node,node22,run_fetch_discard,750000000,12114,59.7
node,node22,stream_fetch_discard,750000000,444,42.1
go,go125,materialize,OOM,,85
go,go125,stream_discard,750000000,11746,161.7
rust,rust,materialize_arrow,OOM,,43
rust,rust,materialize_vec,OOM,,51
rust,rust,stream_arrow,750000000,11726,27.9
rust,rust,stream_rows,750000000,11727,40.6
