lang,image,scenario,rows,peak_mb,seconds
python,python312,materialize_df,50000000,1807,4.5
python,python312,materialize_arrow,50000000,900,2.9
python,python312,materialize_numpy,50000000,1229,2.5
python,python312,stream_fetchmany,50000000,321,17.2
python,python312,stream_arrow_reader,50000000,196,1.3
python,python312,stream_df_chunk,50000000,281,2.0
node,node22,materialize_columns,50000000,3681,7.9
node,node22,materialize_chunks,50000000,1867,3.6
node,node22,run_fetch_discard,50000000,1329,2.8
node,node22,stream_fetch_discard,50000000,400,3.0
python,python312,stream_sorted_limited,50000000,362,18.0
node,node22,stream_sorted_limited,50000000,412,22.5
r,dev,materialize,50000000,1655,1.9
r,dev,chunked_native,50000000,1655,3.6
r,dev,arrow_legacy,50000000,1741,1.9
r,cran,materialize,50000000,1645,1.5
r,cran,chunked_native,50000000,1645,3.2
r,cran,stream_discard,50000000,140,1.2
r,cran,stream_plain,50000000,897,1.7
r,cran,stream_convert,50000000,194,1.9
r,cran,stream_sorted_limited,ERROR,,
r,cran,arrow_legacy,50000000,1741,1.8
r,cran,adbc_stream,50000000,146,3.8
r,cran,adbc_sorted_limited,50000000,363,18.7
go,go125,materialize,50000000,3223,13.9
go,go125,stream_discard,50000000,821,11.5
go,go125,stream_sorted_limited,50000000,1070,24.0
rust,rust,materialize_arrow,50000000,1646,1.6
rust,rust,materialize_vec,50000000,1569,3.8
rust,rust,stream_arrow,50000000,805,1.0
rust,rust,stream_rows,50000000,805,2.3
rust,rust,stream_sorted_limited,50000000,1135,9.8
r,dev,stream_discard,50000000,159,0.7
r,dev,stream_plain,50000000,916,1.0
r,dev,stream_convert,50000000,228,1.3
r,dev,stream_sorted_limited,50000000,376,16.5
r,dev,adbc_stream,50000000,150,3.6
r,dev,adbc_sorted_limited,50000000,366,18.0
