image,finding,metric,value
cran,version,duckdb,1.5.5
cran,version,R,R version 4.6.1 (2026-06-24)
cran,version,memory_limit_default,12.5 GiB
cran,version,mem_available_kb,12764036
cran,eager,resultset_rows_before_fetch,100000
cran,eager,fetch_n5_rows,5
cran,double_copy,data_mb,800
cran,double_copy,peak_over_base_mb,1545
cran,double_copy,rows,50000000
cran,ledger,tags_while_result_held,IN_MEMORY_TABLE=107MB
cran,altrep,materialized_after_rel_to_altrep,FALSE
cran,altrep,rss_after_rel_to_altrep_mb,7
cran,altrep,materialized_after_touch,TRUE
cran,altrep,rss_after_touch_mb,162
cran,altrep,rss_after_copy_out_mb,277
cran,altrep,rss_after_drop_altrep_mb,172
cran,adbc,first_batch_rows,2048
cran,adbc,rss_delta_after_second_statement_mb,497
cran,adbc,rows_still_readable,30000000
cran,drain_plain,rows,5e+07
cran,drain_plain,peak_at_open_mb,102
cran,drain_plain,peak_after_drain_mb,555
cran,drain_release,rows,5e+07
cran,drain_release,peak_at_open_mb,102
cran,drain_release,peak_after_drain_mb,142
cran,drain_gc,rows,5e+07
cran,drain_gc,peak_at_open_mb,102
cran,drain_gc,peak_after_drain_mb,206
cran,write_memory,write,Invalid Error: IO Error: Failed to create directory "/tmp/Rt
cran,write_memory,ledger_before_commit,
cran,write_memory,peak_over_base_mb,192
cran,write_file,write,ok
cran,write_file,ledger_before_commit,BASE_TABLE=184MB/spilled0MB
cran,write_file,peak_over_base_mb,207
cran,write_file,file_mb,403
cran,write_txn_memory,write,TransactionContext Error: Current transaction is aborted (pl
cran,write_txn_file,write,ok
cran,write_txn_file,ledger_before_commit,BASE_TABLE=184MB/spilled0MB;IN_MEMORY_TABLE=13MB/spilled0MB;TRANSACTION=0MB/spilled0MB
cran,write_txn_file,commit,ok
cran,write_txn_file,peak_over_base_mb,203
cran,write_txn_file,file_mb,403
cran,config_trap,duckdb_config,190.7 MiB
cran,config_trap,dbConnect_config_memory,12.5 GiB
cran,config_trap,dbConnect_dbdir_config,190.7 MiB
cran,config_trap,dbConnect_config_on_dbdir_driver,12.5 GiB
cran,sorted_stream_limited,ERROR,
cran,record_batch_cycles,rss_over_base_after_each_cycle_mb,33;34;136;125;7;8;7;140
