lang,image,scenario,target,rows,base_mb,peak_mb,over_base_mb,seconds
r,dev,engine_generate,file,750000000,137,492,355,107.0
r,dev,frame_dbWriteTable,file,750000000,11581,11954,373,101.7
r,dev,frame_register_only,file,750000000,11581,11581,1,1.3
r,dev,frame_nanoarrow_register,file,750000000,11581,12007,426,103.9
r,dev,chunks_dbAppendTable,file,750000000,138,601,463,186.2
r,dev,stream_stdin_csv,file,750000000,138,568,431,378.0
r,dev,stream_stdin_arrow_dbAppendTableArrow,file,750000000,138,719,582,235.5
python,python312,engine_generate,file,750000000,66,429,363,87.0
python,python312,frame_pandas_register,file,750000000,OOM,,,64
python,python312,frame_pandas_register_only,file,750000000,OOM,,,36
python,python312,frame_arrow_register,file,750000000,11586,11957,372,98.4
python,python312,chunks_pandas_append,file,750000000,141,609,468,165.2
python,python312,stream_arrow_reader_generator,file,750000000,94,2208,2114,48.8
python,python312,stream_arrow_reader_generator_chunks,file,750000000,95,611,516,157.1
python,python312,stream_stdin_arrow,file,750000000,92,2125,2033,50.2
python,python312,stream_stdin_csv,file,750000000,67,469,402,372.3
node,node22,engine_generate,file,750000000,91,452,361,94.6
node,node22,stream_appender_rows,file,750000000,92,442,350,272.0
node,node22,stream_appender_chunks,file,750000000,93,608,515,186.7
node,node22,stream_table_function,file,750000000,91,477,386,126.7
node,node22,frame_arrays_appender_chunks,file,750000000,11534,12065,531,165.0
node,node22,stream_stdin_csv,file,750000000,92,480,388,369.9
go,go125,engine_generate,file,750000000,34,398,364,68.5
go,go125,stream_appender_rows,file,750000000,35,447,412,170.9
go,go125,stream_arrow_view,file,750000000,35,587,552,33.2
go,go125,frame_slices_appender,file,750000000,OOM,,,95
go,go125,frame_slices_appender_gogc20,file,750000000,11494,14371,2877,174.4
go,go125,stream_stdin_csv,file,750000000,36,446,410,350.9
rust,rust,engine_generate,file,750000000,21,379,358,68.9
rust,rust,stream_appender_rows,file,750000000,22,371,348,159.0
rust,rust,stream_append_record_batches,file,750000000,22,386,363,79.8
rust,rust,frame_vec_appender,file,750000000,11466,11814,348,167.9
rust,rust,frame_arrow_vtab,file,750000000,11465,11824,359,72.8
rust,rust,stream_stdin_csv,file,750000000,22,463,441,346.3
