route,consumer,rows,baseline_mb,peak_mb,over_mb,call_s,total_s
legacy,acero,20000000,223,743,520,1.18,1.62
stream,acero,20000000,223,290,67,0.04,1.18
literal,acero,20000000,223,306,83,0.03,1.19
pulled,acero,20000000,222,720,497,0.03,1.29
legacy,table,20000000,223,1141,918,1.11,1.49
stream,table,20000000,223,691,468,0.02,1.15
literal,table,20000000,223,691,468,0.02,1.22
pulled,table,20000000,223,691,468,0.02,1.06
legacy,collect,20000000,223,1367,1144,1.08,2.26
stream,collect,20000000,223,909,686,0.02,2.03
literal,collect,20000000,223,910,687,0.02,2.14
pulled,collect,20000000,223,912,689,0.03,2.27
legacy,acero,50000000,223,1440,1218,2.92,3.49
stream,acero,50000000,223,291,68,0.02,2.72
literal,acero,50000000,223,291,68,0.03,2.83
pulled,acero,50000000,223,1418,1195,0.03,3.86
legacy,table,50000000,223,2531,2309,2.90,4.29
stream,table,50000000,223,1384,1161,0.03,2.91
literal,table,50000000,223,1383,1161,0.03,2.78
pulled,table,50000000,223,1385,1162,0.04,3.02
legacy,collect,50000000,223,3104,2882,2.65,6.30
stream,collect,50000000,223,1942,1719,0.02,4.94
literal,collect,50000000,223,1943,1720,0.02,4.77
pulled,collect,50000000,223,1944,1721,0.02,4.79
